Back to Index,Seniority,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
Mar-14,Junior,,,HEO,HR Officer,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1135,,1,26800,40828,Human Resources,,
Mar-14,Junior,,,HEO,HR Officer,,Department for Education,Department For Education,People and Change Group,,,DFE-1153,,1.89,26800,40828,Human Resources,,
Mar-14,Junior,,,HEO,HR Officer,,Department for Education,Department For Education,People and Change Group,,,DFE-1091,,4.81,26800,40828,Human Resources,,
Mar-14,Junior,,,HEO,HR Officer,,Department for Education,Department For Education,ALB Reform Group,,,DFE-1075,,1,26800,40828,Human Resources,,
Mar-14,Junior,,,HEO,HR Officer,,Department for Education,Department For Education,People and Change Group,,,DFE-1088,,2.36,26800,40828,Human Resources,,
Mar-14,Junior,,,HEO,HR Officer,,Department for Education,Department For Education,People and Change Group,,,DFE-1186,,5,26800,40828,Internal Audit,,
Mar-14,Junior,,,HEO,Internal Audit Support Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1143,,2,26800,40828,Information Technology,,
Mar-14,Junior,,,HEO,IT Support Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1022,,7.67,26800,40828,Information Technology,,
Mar-14,Junior,,,HEO,IT Support Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,13,26800,40828,Information Technology,,
Mar-14,Junior,,,HEO,IT Support Officer,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1094,,22,26800,40828,Knowledge and Information Management (KIM),,
Mar-14,Junior,,,HEO,IT Support Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,2,26800,40828,Knowledge and Information Management (KIM),,
Mar-14,Junior,,,HEO,IT Support Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1022,,1,26800,40828,Law,,
Mar-14,Junior,,,HEO,Legal Adviser,,Department for Education,Department For Education,Permanent Secretary’s Office,,,DFE-1001,,2,26800,40828,Other,,
Mar-14,Junior,,,HEO,Knowledge Information Management Manager,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1022,,1,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Standards and Testing Agency,Standards and Testing Agency,,,DFE-1181,,2,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1134,,7,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Standards and Testing Agency,Standards and Testing Agency,,,DFE-1032,,18.5,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1053,,3.42,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1020,,8.8,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1133,,9.88,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1099,,6,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1151,,9.04,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Standards and Testing Agency,Standards and Testing Agency,,,DFE-1060,,4,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1029,,3.67,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",,,DFE-1067,,5,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1142,,1.64,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1065,,5,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1108,,4.89,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1139,,6,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1136,,1,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1174,,1,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1137,,1,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1135,,2,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1148,,2,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1192,,1,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Department For Education,People and Change Group,,,DFE-1088,,1,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1161,,1,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1106,,1,26800,40828,Operational Delivery,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1188,,1,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,National College,National College for School Leadership,,,DFE-1100,,1,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Academies Delivery Group,,,DFE-1057,,31.01,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",,,DFE-1172,,14.2,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",,,DFE-1005,,2,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Systems and Accountability,,,DFE-1111,,34.08,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",,,DFE-1038,,4,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",,,DFE-1183,,5.6,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Teachers and Teaching Group,,,DFE-1056,,4,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Academies Delivery Group,,,DFE-1059,,5.35,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Education Funding Group,,,DFE-1176,,3,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Systems and Accountability,,,DFE-1160,,18,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Closing The Gap,,,DFE-1033,,4.8,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,System Reform Group,,,DFE-1152,,6.16,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Teachers and Teaching Group,,,DFE-1171,,4,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Teachers and Teaching Group,,,DFE-1102,,2,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Academies Delivery Group,,,DFE-1098,,16.14,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,National College,National College for School Leadership,,,DFE-1109,,5.51,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,System Reform Group,,,DFE-1064,,7.37,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Academies Delivery Group,,,DFE-1130,,13,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",,,DFE-1193,,8.92,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Free Schools Group,,,DFE-1129,,8,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,National College,National College for School Leadership,,,DFE-1083,,5,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,National College,National College for School Leadership,,,DFE-1027,,7.44,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Free Schools Group,,,DFE-1122,,4,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",,,DFE-1082,,6.92,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Closing The Gap,,,DFE-1097,,4.28,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Free Schools Group,,,DFE-1187,,10.47,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",,,DFE-1182,,3,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",,,DFE-1119,,2,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Teachers and Teaching Group,,,DFE-1040,,6.76,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",,,DFE-1175,,2.67,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,People and Change Group,,,DFE-1186,,2,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,People and Change Group,,,DFE-1088,,1,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,National College,National College for School Leadership,,,DFE-1028,,18.04,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,National College,National College for School Leadership,,,DFE-1025,,2,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1036,,2.8,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Academies Delivery Group,,,DFE-1055,,4,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1178,,1.54,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,System Reform Group,,,DFE-1170,,5.7,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Free Schools Group,,,DFE-1146,,8,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",,,DFE-1039,,7,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Closing The Gap,,,DFE-1141,,4.27,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",,,DFE-1197,,4.69,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,System Reform Group,,,DFE-1086,,1,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Office of the Schools Commissioner Group,,,DFE-1092,,4,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,National College,National College for School Leadership,,,DFE-1147,,4.42,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",,,DFE-1067,,3.63,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Children Services and Departmental Strategy,,,DFE-1002,,1,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Strategy Performance and Private Office Group,,,DFE-1198,,1,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Free Schools Group,,,DFE-1180,,3,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Strategic Analysis Research and Policy Impact Group,,,DFE-1150,,2,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,System Reform Group,,,DFE-1140,,2,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1188,,0.6,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,National College,National College for School Leadership,,,DFE-1026,,1.61,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",,,DFE-1019,,4,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1099,,1,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,Education Funding Group,,,DFE-1043,,4,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",,,DFE-1145,,1,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1142,,1,26800,40828,Policy,,
Mar-14,Junior,,,HEO,Policy Support Officer,,Department for Education,National College,National College for School Leadership,,,DFE-1166,,1,26800,40828,Programme and Project Management (PPM),,
Mar-14,Junior,,,HEO,Operations Support Officer,,Department for Education,Department For Education,Education Funding Group,,,DFE-1157,,15.48,26800,40828,Programme and Project Management (PPM),,
Mar-14,Junior,,,HEO,Operations Support Officer,,Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",,,DFE-1193,,1,26800,40828,Planning,,
Mar-14,Junior,,,HEO,Operational Manager,,Department for Education,Department For Education,Strategy Performance and Private Office Group,,,DFE-1190,,2,26800,40828,Information Technology,,
Mar-14,Junior,,,GRADE 7,IT Manager,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1094,,8.8,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Business Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1053,,1,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Business Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1192,,8,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Business Manager,,Department for Education,Department For Education,Children Services and Departmental Strategy,,,DFE-1002,,2,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Business Manager,,Department for Education,Department For Education,Strategy Performance and Private Office Group,,,DFE-1144,,3,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Business Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1061,,1,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Business Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1154,,1,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Business Manager,,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",,,DFE-1039,,5,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Business Manager,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1127,,1,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Business Manager,,Department for Education,Department For Education,Strategy Performance and Private Office Group,,,DFE-1123,,2,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Business Manager,,Department for Education,Department For Education,Strategy Performance and Private Office Group,,,DFE-1123,,2,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Business Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1136,,1,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Business Manager,,Department for Education,Department For Education,Strategy Performance and Private Office Group,,,DFE-1144,,1,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Business Manager,,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",,,DFE-1039,,1,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Business Manager,,Department for Education,Department For Education,Infrastructure and Funding Directorate,,,DFE-1084,,1,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Business Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1044,,1,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Business Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1136,,1,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Business Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1061,,1,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Business Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1108,,1,45300,57223,Operational Delivery,,
Mar-14,Junior,,,Grade 6,Business Manager,,Department for Education,Department For Education,Children Services and Departmental Strategy,,,DFE-1002,,1,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Business Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1106,,1,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Communications Manager,,Department for Education,Department For Education,Strategy Performance and Private Office Group,,,DFE-1198,,7.01,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Communications Manager,,Department for Education,Department For Education,Strategy Performance and Private Office Group,,,DFE-1085,,5.61,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Communications Manager,,Department for Education,Department For Education,Communications Group,,,DFE-1078,,8.92,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Communications Manager,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,3,45300,57223,Operational Delivery,,
Mar-14,Junior,,,Grade 6,Communications Manager,,Department for Education,Department For Education,Communications Group,,,DFE-1078,,4,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Communications Manager,,Department for Education,Department For Education,Strategy Performance and Private Office Group,,,DFE-1198,,2,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Communications Manager,,Department for Education,Department For Education,Strategy Performance and Private Office Group,,,DFE-1085,,2,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Project Manager,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,1,45300,57223,Information Technology,,
Mar-14,Junior,,,GRADE 6,IT Manager,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1035,,1,55431,69187,Information Technology,,
Mar-14,Junior,,,Grade 7,IT Manager,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1035,,1,45300,57223,Economics,,
Mar-14,Junior,,,Grade 6,Economist,,Department for Education,Department For Education,Strategic Analysis Research and Policy Impact Group,,,DFE-1191,,2,55431,69187,Economics,,
Mar-14,Junior,,,GRADE 7,Economist,,Department for Education,Department For Education,Strategic Analysis Research and Policy Impact Group,,,DFE-1191,,3.62,45300,57223,Property and asset management,,
Mar-14,Junior,,,GRADE 7,Office Manager,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1035,,5,45300,57223,Property and asset management,,
Mar-14,Junior,,,Grade 6,Office Manager,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1035,,1,55431,69187,Finance,,
Mar-14,Junior,,,GRADE 7,Finance Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1101,,18.7,45300,57223,Finance,,
Mar-14,Junior,,,GRADE 7,Finance Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1022,,6.76,45300,57223,Finance,,
Mar-14,Junior,,,GRADE 7,Finance Officer,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1108,,1,45300,57223,Finance,,
Mar-14,Junior,,,GRADE 6,Finance Officer,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1165,,1,55431,69187,Finance,,
Mar-14,Junior,,,GRADE 7,Finance Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1127,,6,45300,57223,Finance,,
Mar-14,Junior,,,GRADE 6,Finance Officer,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1154,,1.8,55431,69187,Finance,,
Mar-14,Junior,,,GRADE 7,Finance Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1178,,6.89,45300,57223,Finance,,
Mar-14,Junior,,,GRADE 6,Finance Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1042,,4,55431,69187,Finance,,
Mar-14,Junior,,,GRADE 7,Finance Officer,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1133,,1,45300,57223,Finance,,
Mar-14,Junior,,,GRADE 6,Finance Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1101,,2,55431,69187,Finance,,
Mar-14,Junior,,,GRADE 6,Finance Officer,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1188,,1,55431,69187,Finance,,
Mar-14,Junior,,,GRADE 7,Finance Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1042,,6,45300,57223,Finance,,
Mar-14,Junior,,,Grade 6,Finance Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1127,,1,55431,69187,Finance,,
Mar-14,Junior,,,GRADE 6,Finance Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1022,,1,55431,69187,Finance,,
Mar-14,Junior,,,GRADE 7,Finance Officer,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1188,,1,45300,57223,Finance,,
Mar-14,Junior,,,GRADE 7,Finance Officer,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1020,,1,45300,57223,Finance,,
Mar-14,Junior,,,GRADE 6,Finance Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1178,,1,55431,69187,Human Resources,,
Mar-14,Junior,,,GRADE 6,HR Officer,,Department for Education,Department For Education,People and Change Group,,,DFE-1186,,6.67,55431,69187,Human Resources,,
Mar-14,Junior,,,GRADE 7,HR Officer,,Department for Education,Department For Education,People and Change Group,,,DFE-1186,,2,45300,57223,Human Resources,,
Mar-14,Junior,,,GRADE 7,HR Officer,,Department for Education,Department For Education,People and Change Group,,,DFE-1153,,3.7,45300,57223,Human Resources,,
Mar-14,Junior,,,GRADE 7,HR Officer,,Department for Education,Department For Education,People and Change Group,,,DFE-1088,,1,45300,57223,Human Resources,,
Mar-14,Junior,,,GRADE 7,HR Officer,,Department for Education,Department For Education,People and Change Group,,,DFE-1091,,3,45300,57223,Human Resources,,
Mar-14,Junior,,,GRADE 6,HR Officer,,Department for Education,Department For Education,People and Change Group,,,DFE-1153,,1,55431,69187,Human Resources,,
Mar-14,Junior,,,GRADE 7,HR Officer,,Department for Education,Department For Education,ALB Reform Group,,,DFE-1075,,1,45300,57223,Internal Audit,,
Mar-14,Junior,,,GRADE 6,Internal Audit Support Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1143,,1,55431,69187,Internal Audit,,
Mar-14,Junior,,,GRADE 7,Internal Audit Support Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1143,,3.49,45300,57223,Information Technology,,
Mar-14,Junior,,,GRADE 6,IT Manager,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,3,55431,69187,Information Technology,,
Mar-14,Junior,,,GRADE 7,IT Manager,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,15,45300,57223,Information Technology,,
Mar-14,Junior,,,GRADE 7,IT Manager,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1022,,2,45300,57223,Information Technology,,
Mar-14,Junior,,,GRADE 6,IT Manager,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1094,,2,55431,69187,Knowledge and Information Management (KIM),,
Mar-14,Junior,,,GRADE 7,IT Manager,,Department for Education,Department For Education,Permanent Secretary’s Office,,,DFE-1001,,1,45300,57223,Knowledge and Information Management (KIM),,
Mar-14,Junior,,,GRADE 6,IT Manager,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,2,55431,69187,Law,,
Mar-14,Junior,,,GRADE 7,Legal Adviser,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1022,,1,45300,57223,Law,,
Mar-14,Junior,,,GRADE 6,Legal Adviser,,Department for Education,Department For Education,Permanent Secretary’s Office,,,DFE-1001,,1,55431,69187,Law,,
Mar-14,Junior,,,GRADE 7,Legal Adviser,,Department for Education,Department For Education,Permanent Secretary’s Office,,,DFE-1001,,1,45300,57223,Other,,
Mar-14,Junior,,,GRADE 7,Knowledge Information Management Support Officer,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1022,,1,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1161,,8,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1099,,4,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1133,,10.92,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Standards and Testing Agency,Standards and Testing Agency,,,DFE-1060,,11,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 7,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1020,,12,45300,57223,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1135,,4.94,55431,69187,Operational Delivery,,
Mar-14,Junior,,,GRADE 6,Senior Operational Manager,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1061,,13,55431,69187,Operational Delivery,,
