Back to Index,Senion/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Column1,Professional/Occupational Group,Notes,Valid?
Sep-13,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Devolved Countries/Director's Office/GMS,,,24023,,1,49490,60000,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Economic Assessment/Economics Model Unit,,,23957,,6.8,24578,38255,,Economics,,
Sep-13,Junior,,,Range D,Research Officer,,Her Majesty's Treasury,HM Treasury,Economic Assessment/Economics Model Unit,,,23957,,1,24578,38255,,Social Research,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Economic Assessment/Economics Model Unit,,,23957,,4.5,41550,57801,,Economics,,
Sep-13,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Economic Assessment/Economics Model Unit,,,23957,,1,49490,60000,,Economics,,
Sep-13,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,Economic Assessment/Economics Model Unit,,,23957,,3,18480,18480,,Economics,,
Sep-13,Junior,,,Range B,Treasury Official,,Her Majesty's Treasury,HM Treasury,"Economic, Exchequer, Financial Secretary's Office",,,23984,,1,16386,21663,,Policy,,
Sep-13,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,"Economic, Exchequer, Financial Secretary's Office",,,23984,,3,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Treasury Official,,Her Majesty's Treasury,HM Treasury,"Economic, Exchequer, Financial Secretary's Office",,,23984,,3,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Treasury Official,,Her Majesty's Treasury,HM Treasury,"Economic, Exchequer, Financial Secretary's Office",,,23984,,3,41550,57801,,Policy,,
Sep-13,Junior,,,Range B,Research Support Officer,,Her Majesty's Treasury,HM Treasury,Economics of the UK/GMS,,,24010,,0.5,16386,21663,,Social Research,,
Sep-13,Junior,,,Range C,Research Support Officer,,Her Majesty's Treasury,HM Treasury,Economics of the UK/GMS,,,24010,,0.84,18727,26720,,Social Research,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Economics of the UK/GMS,,,24010,,1,24578,38255,,Economics,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Economics of the UK/GMS,,,24010,,2,41550,57801,,Economics,,
Sep-13,Junior,,,Range E2,Senior Research Officer,,Her Majesty's Treasury,HM Treasury,Economics of the UK/GMS,,,24010,,1,49490,60000,,Social Research,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,"Education, Children and Culture",,,24774,,1,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Education, Children and Culture",,,24774,,6,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Education, Children and Culture",,,24774,,1,41550,57801,,Economics,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Education, Children and Culture",,,24774,,3.16,41550,57801,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Energy, Environment and Agriculture",,,24016,,6,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Energy, Environment and Agriculture",,,24016,,4,41550,57801,,Policy,,
Sep-13,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,"Energy, Environment and Agriculture",,,24016,,1,18480,18480,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Enterprise and Property Tax,,,24253,,8,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Enterprise and Property Tax,,,24253,,7.7,41550,57801,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Environment and Transport Tax,,,23967,,8,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Environment and Transport Tax,,,23967,,1,41550,57801,,Economics,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Environment and Transport Tax,,,23967,,3,41550,57801,,Policy,,
Sep-13,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Equitable Life and International Tax/GMS,,,24274,,3,16386,21663,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Equitable Life and International Tax/GMS,,,24274,,7,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Equitable Life and International Tax/GMS,,,24274,,4,41550,57801,,Policy,,
Sep-13,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Equitable Life and International Tax/GMS,,,24274,,1,49490,60000,,Policy,,
Sep-13,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,Equitable Life and International Tax/GMS,,,24274,,2,18480,18480,,Policy,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,European Institutions and Policy,,,23989,,1,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,European Institutions and Policy,,,23989,,7,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,European Institutions and Policy,,,23989,,1,41550,57801,,Economics,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,European Institutions and Policy,,,23989,,5,41550,57801,,Policy,,
Sep-13,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,European Union Finances/GMS,,,24629,,3,16386,21663,,Policy,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,European Union Finances/GMS,,,24629,,6.19,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,European Union Finances/GMS,,,24629,,4.5,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,European Union Finances/GMS,,,24629,,6,41550,57801,,Policy,,
Sep-13,Junior,,,Range B,Treasury Official,,Her Majesty's Treasury,HM Treasury,Exchequer Funds and Accounts/Interventions Strategy and Markets,,,23950,,1,16386,21663,,Policy,,
Sep-13,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,Exchequer Funds and Accounts/Interventions Strategy and Markets,,,23950,,8,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Treasury Official,,Her Majesty's Treasury,HM Treasury,Exchequer Funds and Accounts/Interventions Strategy and Markets,,,23950,,6,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Exchequer Funds and Accounts/Interventions Strategy and Markets,,,23950,,3,41550,57801,,Policy,,
Sep-13,Junior,,,Range E2,Treasury Official,,Her Majesty's Treasury,HM Treasury,Exchequer Funds and Accounts/Interventions Strategy and Markets,,,23950,,1.8,49490,60000,,Policy,,
Sep-13,Junior,,,Range B,Finance Support Officer,,Her Majesty's Treasury,HM Treasury,Finance and HR Operational Services,,,23959,,2,16386,21663,,Finance,,
Sep-13,Junior,,,Range B,Finance Support Officer,,Her Majesty's Treasury,HM Treasury,Finance and HR Operational Services,,,23959,,3,16386,21663,,Operational Delivery,,
Sep-13,Junior,,,Range B,HR Support Officer,,Her Majesty's Treasury,HM Treasury,Finance and HR Operational Services,,,24363,,7.8,16386,21663,,Operational Delivery,,
Sep-13,Junior,,,Range B,IT Support Officer,,Her Majesty's Treasury,HM Treasury,Finance and HR Operational Services,,,24363,,1,16386,21663,,Operational Delivery,,
Sep-13,Junior,,,Range C,Finance Support Officer,,Her Majesty's Treasury,HM Treasury,Finance and HR Operational Services,,,23959,,3,18727,26720,,Finance,,
Sep-13,Junior,,,Range C,HR Support Officer,,Her Majesty's Treasury,HM Treasury,Finance and HR Operational Services,,,24363,,6.99,18727,26720,,Operational Delivery,,
Sep-13,Junior,,,Range C,IT Support Officer,,Her Majesty's Treasury,HM Treasury,Finance and HR Operational Services,,,24363,,2,18727,26720,,Operational Delivery,,
Sep-13,Junior,,,Range D,Finance Officer,,Her Majesty's Treasury,HM Treasury,Finance and HR Operational Services,,,23959,,1,24578,38255,,Finance,,
Sep-13,Junior,,,Range D,HR Officer,,Her Majesty's Treasury,HM Treasury,Finance and HR Operational Services,,,24363,,2.8,24578,38255,,Operational Delivery,,
Sep-13,Junior,,,Range D,IT Manager,,Her Majesty's Treasury,HM Treasury,Finance and HR Operational Services,,,24363,,1,24578,38255,,Operational Delivery,,
Sep-13,Junior,,,Range E,Senior IT Manager,,Her Majesty's Treasury,HM Treasury,Finance and HR Operational Services,,,24363,,0.75,41550,57801,,Operational Delivery,,
Sep-13,Junior,,,Range E2,HR Manager,,Her Majesty's Treasury,HM Treasury,Finance and HR Operational Services,,,24363,,1,49490,60000,,Human Resources,,
Sep-13,Junior,,,Range B,Finance Support Officer,,Her Majesty's Treasury,HM Treasury,Finance in the Business,,,23959,,6,16386,21663,,Finance,,
Sep-13,Junior,,,Range C,Finance Support Officer,,Her Majesty's Treasury,HM Treasury,Finance in the Business,,,23959,,5.48,18727,26720,,Finance,,
Sep-13,Junior,,,Range D,Finance Officer,,Her Majesty's Treasury,HM Treasury,Finance in the Business,,,23959,,3,24578,38255,,Finance,,
Sep-13,Junior,,,Range E,Senior Finance Officer,,Her Majesty's Treasury,HM Treasury,Finance in the Business,,,23959,,1,41550,57801,,Finance,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Financial Services Strategy,,,24011,,1,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Financial Services Strategy,,,24011,,4,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Financial Services Strategy,,,24011,,6.49,41550,57801,,Policy,,
Sep-13,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Fiscal Policy and Statistics/GMS,,,23987,,1,16386,21663,,Operational Delivery,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Fiscal Policy and Statistics/GMS,,,23987,,2,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Fiscal Policy and Statistics/GMS,,,23987,,8,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Fiscal Policy and Statistics/GMS,,,23987,,3,41550,57801,,Economics,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Fiscal Policy and Statistics/GMS,,,23987,,2,41550,57801,,Policy,,
Sep-13,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Fiscal Policy and Statistics/GMS,,,23987,,3,49490,60000,,Policy,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,General Expenditure Policy/Director's Office/GMS,,,24019,,2.6,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,General Expenditure Policy/Director's Office/GMS,,,24019,,9.5,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,General Expenditure Policy/Director's Office/GMS,,,24019,,1,41550,57801,,Economics,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,General Expenditure Policy/Director's Office/GMS,,,24019,,6.9,41550,57801,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Global Economics,,,24638,,11.89,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Global Economics,,,24638,,3,41550,57801,,Policy,,
Sep-13,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Global Economics,,,24638,,2,49490,60000,,Policy,,
Sep-13,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,Global Economics,,,24638,,3,18480,18480,,Policy,,
Sep-13,Junior,,,Range B,Research Support Officer,,Her Majesty's Treasury,HM Treasury,Government Economic & Social Research Unit,,,23955,,2,16386,21663,,Social Research,,
Sep-13,Junior,,,Range C,Research Support Officer,,Her Majesty's Treasury,HM Treasury,Government Economic & Social Research Unit,,,23955,,0.86,18727,26720,,Social Research,,
Sep-13,Junior,,,Range D,Research Officer,,Her Majesty's Treasury,HM Treasury,Government Economic & Social Research Unit,,,23955,,4,24578,38255,,Social Research,,
Sep-13,Junior,,,Range E,Senior Research Officer,,Her Majesty's Treasury,HM Treasury,Government Economic & Social Research Unit,,,23955,,1.5,41550,57801,,Social Research,,
Sep-13,Junior,,,Range E2,Senior Research Officer,,Her Majesty's Treasury,HM Treasury,Government Economic & Social Research Unit,,,23955,,1,49490,60000,,Social Research,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Government Finance Profession,,,24942,,1,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Government Finance Profession,,,24942,,5,41550,57801,,Policy,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Government Financial Reporting,,,23962,,1,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Government Financial Reporting,,,23962,,10,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Government Financial Reporting,,,23962,,8,41550,57801,,Policy,,
Sep-13,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Government Financial Reporting,,,23962,,2,49490,60000,,Policy,,
Sep-13,Junior,,,Range B,Finance Support Officer,,Her Majesty's Treasury,HM Treasury,Group Finance,,,23959,,0.3,16386,21663,,Finance,,
Sep-13,Junior,,,Range C,Finance Support Officer,,Her Majesty's Treasury,HM Treasury,Group Finance,,,23959,,2,18727,26720,,Finance,,
Sep-13,Junior,,,Range D,Finance Officer,,Her Majesty's Treasury,HM Treasury,Group Finance,,,23959,,7,24578,38255,,Finance,,
Sep-13,Junior,,,Range E,Senior Finance Manager,,Her Majesty's Treasury,HM Treasury,Group Finance,,,23959,,2,41550,57801,,Finance,,
Sep-13,Junior,,,Range E2,Senior Finance Manager,,Her Majesty's Treasury,HM Treasury,Group Finance,,,23959,,1,49490,60000,,Finance,,
Sep-13,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,Group Finance,,,23959,,1,18480,18480,,Finance,,
Sep-13,Junior,,,Range B,HR Support Officer,,Her Majesty's Treasury,HM Treasury,"Group Human Resources,Corporate Centre Change and Management Team,GMS/TLA",,,24363,,1.11,16386,21663,,Human Resources,,
Sep-13,Junior,,,Range B,Legal Support Officer,,Her Majesty's Treasury,HM Treasury,"Group Human Resources,Corporate Centre Change and Management Team,GMS/TLA",,,24363,,1.8,16386,21663,,Law,,
Sep-13,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,"Group Human Resources,Corporate Centre Change and Management Team,GMS/TLA",,,24363,,2,16386,21663,,Policy,,
Sep-13,Junior,,,Range C,HR Support Officer,,Her Majesty's Treasury,HM Treasury,"Group Human Resources,Corporate Centre Change and Management Team,GMS/TLA",,,24363,,1.4,18727,26720,,Human Resources,,
Sep-13,Junior,,,Range C,Legal Support Officer,,Her Majesty's Treasury,HM Treasury,"Group Human Resources,Corporate Centre Change and Management Team,GMS/TLA",,,24363,,1,18727,26720,,Law,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,"Group Human Resources,Corporate Centre Change and Management Team,GMS/TLA",,,24363,,2,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,HR Officer,,Her Majesty's Treasury,HM Treasury,"Group Human Resources,Corporate Centre Change and Management Team,GMS/TLA",,,24363,,3.83,24578,38255,,Human Resources,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Group Human Resources,Corporate Centre Change and Management Team,GMS/TLA",,,24363,,1,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,HR Manager,,Her Majesty's Treasury,HM Treasury,"Group Human Resources,Corporate Centre Change and Management Team,GMS/TLA",,,24363,,4.37,41550,57801,,Human Resources,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Group Human Resources,Corporate Centre Change and Management Team,GMS/TLA",,,24363,,1.7,41550,57801,,Policy,,
Sep-13,Junior,,,Range E2,HR Manager,,Her Majesty's Treasury,HM Treasury,"Group Human Resources,Corporate Centre Change and Management Team,GMS/TLA",,,24363,,2,49490,60000,,Human Resources,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Growth and Productivity,,,24016,,1,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Growth and Productivity,,,24016,,7,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Growth and Productivity,,,24016,,3,41550,57801,,Policy,,
Sep-13,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Growth and Productivity,,,24016,,1,49490,60000,,Policy,,
Sep-13,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,Growth and Productivity,,,24016,,1,18480,18480,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Health,,,24051,,4,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Health,,,24051,,1,41550,57801,,Economics,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Health,,,24051,,2,41550,57801,,Policy,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Home and Legal,,,24056,,3,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Home and Legal,,,24056,,5,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Home and Legal,,,24056,,7,41550,57801,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Housing and Planning,,,24009,,3,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Housing and Planning,,,24009,,4,41550,57801,,Policy,,
Sep-13,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Housing and Planning,,,24009,,1,49490,60000,,Policy,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Infrastructure Delivery/Infrastructure UK (IUK),,,24038,,2,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Infrastructure Delivery/Infrastructure UK (IUK),,,24038,,1,24578,38255,,Policy,,
Sep-13,Junior,,,Specialist,Specialist,,Her Majesty's Treasury,HM Treasury,Infrastructure Delivery/Infrastructure UK (IUK),,,24038,,14.98,28000,137500,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Infrastructure Finance,,,24038,,1,24578,38255,,Policy,,
Sep-13,Junior,,,Specialist,Specialist,,Her Majesty's Treasury,HM Treasury,Infrastructure Finance,,,24038,,8.6,28000,137500,,Policy,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Infrastructure Strategy Branch,,,24038,,1,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Infrastructure Strategy Branch,,,24038,,4,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Infrastructure Strategy Branch,,,24038,,4,41550,57801,,Policy,,
Sep-13,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Insurance and Savings/GMS,,,24053,,1.69,16386,21663,,Policy,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Insurance and Savings/GMS,,,24053,,3,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Insurance and Savings/GMS,,,24053,,9,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Insurance and Savings/GMS,,,24053,,6,41550,57801,,Policy,,
Sep-13,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Insurance and Savings/GMS,,,24053,,1,49490,60000,,Policy,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,International Institutions and Policy,,,24655,,2,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,International Institutions and Policy,,,24655,,9,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,International Institutions and Policy,,,24655,,1,41550,57801,,Economics,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,International Institutions and Policy,,,24655,,4,41550,57801,,Policy,,
Sep-13,Junior,,,Range B,IT Support Officer,,Her Majesty's Treasury,HM Treasury,Joint Workplace solutions,,,23964,,1,16386,21663,,Information Technology,,
Sep-13,Junior,,,Range C,IT Support Officer,,Her Majesty's Treasury,HM Treasury,Joint Workplace solutions,,,23964,,4.6,18727,26720,,Information Technology,,
Sep-13,Junior,,,Range D,IT Manager,,Her Majesty's Treasury,HM Treasury,Joint Workplace solutions,,,23964,,30.63,24578,38255,,Information Technology,,
Sep-13,Junior,,,Range D,Project Officer,,Her Majesty's Treasury,HM Treasury,Joint Workplace solutions,,,23964,,2,24578,38255,,Information Technology,,
Sep-13,Junior,,,Range E,Senior IT Manager,,Her Majesty's Treasury,HM Treasury,Joint Workplace solutions,,,23964,,14,41550,57801,,Information Technology,,
Sep-13,Junior,,,Range E2,Senior IT Manager,,Her Majesty's Treasury,HM Treasury,Joint Workplace solutions,,,23964,,4,49490,60000,,Information Technology,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Labour Markets and Distributional Analysis,,,24002,,7.5,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Labour Markets and Distributional Analysis,,,24002,,7.5,41550,57801,,Policy,,
Sep-13,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Lloyds and Analytical team/GMS/Interventions Management,,,24582,,1,16386,21663,,Finance,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Lloyds and Analytical team/GMS/Interventions Management,,,24582,,1,18727,26720,,Finance,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Lloyds and Analytical team/GMS/Interventions Management,,,24582,,2,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Lloyds and Analytical team/GMS/Interventions Management,,,24582,,1,24578,38255,,Finance,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Lloyds and Analytical team/GMS/Interventions Management,,,24582,,2,24578,38255,,Policy,,
Sep-13,Junior,,,Range D,Project Officer,,Her Majesty's Treasury,HM Treasury,Lloyds and Analytical team/GMS/Interventions Management,,,24582,,1,24578,38255,,Information Technology,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Lloyds and Analytical team/GMS/Interventions Management,,,24582,,2,41550,57801,,Policy,,
Sep-13,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Local Government & Regions,,,24055,,1,16386,21663,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Local Government & Regions,,,24055,,5,24578,38255,,Policy,,
Sep-13,Junior,,,Range D,Project Officer,,Her Majesty's Treasury,HM Treasury,Local Government & Regions,,,24055,,1,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Local Government & Regions,,,24055,,2,41550,57801,,Policy,,
Sep-13,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Local Government & Regions,,,24055,,1,49490,60000,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Macroeconomic Coordination & Strategy,,,24549,,3,24578,38255,,Economics,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Macroeconomic Coordination & Strategy,,,24549,,4,41550,57801,,Economics,,
Sep-13,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,Macroeconomic Coordination & Strategy,,,24549,,1,18480,18480,,Economics,,
Sep-13,Junior,,,Range B,M I Support Officer,,Her Majesty's Treasury,HM Treasury,Management Information Unit,,,24025,,1,16386,21663,,Operational Delivery,,
Sep-13,Junior,,,Range C,M I Support Officer,,Her Majesty's Treasury,HM Treasury,Management Information Unit,,,24025,,2.78,18727,26720,,Operational Delivery,,
Sep-13,Junior,,,Range D,MI Officer,,Her Majesty's Treasury,HM Treasury,Management Information Unit,,,24025,,1,24578,38255,,Operational Delivery,,
Sep-13,Junior,,,Range E,Senior MI Officer,,Her Majesty's Treasury,HM Treasury,Management Information Unit,,,24025,,1,41550,57801,,Operational Delivery,,
Sep-13,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Parliamentary Unit/GMS,,,23984,,1,16386,21663,,Policy,,
Sep-13,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Parliamentary Unit/GMS,,,23984,,2,18727,26720,,Policy,,
Sep-13,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,Parliamentary Unit/GMS,,,23984,,5.92,18727,26720,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Parliamentary Unit/GMS,,,23984,,1,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Parliamentary Unit/GMS,,,23984,,1,41550,57801,,Policy,,
Sep-13,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Pensions and Savings Team,,,24000,,7.8,24578,38255,,Policy,,
Sep-13,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Pensions and Savings Team,,,24000,,5,41550,57801,,Policy,,
