Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Total Pay (£),Professional/Occupational Group,Notes,Valid
Sep-16,Junior,,,A1 (G6),Tax Professional,,Department for International Development,DFID,Country programmes,,,B28,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Climate & Environment Adviser,,Department for International Development,DFID,Country programmes,,,B28,,2,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Economics Adviser,,Department for International Development,DFID,Country programmes,,,B28,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Governance Adviser,,Department for International Development,DFID,Country programmes,,,B28,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Private Sector Development Adviser,,Department for International Development,DFID,Country programmes,,,B28,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Procurement & Commercial Professional,,Department for International Development,DFID,Country programmes,,,B28,,2,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B28,,2,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Social Development Adviser,,Department for International Development,DFID,Country programmes,,,B28,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,B1 (HEO),Finance Professional,,Department for International Development,DFID,Country programmes,,,B28,,1,31949,36397,,Operational Delivery,,
Sep-16,Junior,,,B1D (Faststream),Economics Adviser,,Department for International Development,DFID,Country programmes,,,B28,,1,26800,37195,,Operational Delivery,,
Sep-16,Junior,,,C1 (AO),Executive Assistant,,Department for International Development,DFID,Country programmes,,,B28,,1,19892,23743,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Infrastructure Adviser,,Department for International Development,DFID,Country programmes,,,B29,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B29,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Conflict Adviser,,Department for International Development,DFID,Country programmes,,,B29,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Economics Adviser,,Department for International Development,DFID,Country programmes,,,B29,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Governance Adviser,,Department for International Development,DFID,Country programmes,,,B29,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Humanitarian Adviser,,Department for International Development,DFID,Country programmes,,,B29,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B29,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2L (SEO),Administrator,,Department for International Development,DFID,Country programmes,,,B29,,1,41218,45380,,Operational Delivery,,
Sep-16,Junior,,,A2L (SEO),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B29,,2,41218,45380,,Operational Delivery,,
Sep-16,Junior,,,B1D (Faststream),Humanitarian Adviser,,Department for International Development,DFID,Country programmes,,,B29,,1,26800,37195,,Operational Delivery,,
Sep-16,Junior,,,B1D (Faststream),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B29,,1,26800,37195,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Deputy Head of Department,,Department for International Development,DFID,Country programmes,,,B30,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Governance Adviser,,Department for International Development,DFID,Country programmes,,,B30,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Policy Analyst / Manager,,Department for International Development,DFID,Country programmes,,,B30,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Private Sector Development Adviser,,Department for International Development,DFID,Country programmes,,,B30,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B30,,2,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Climate & Environment Adviser,,Department for International Development,DFID,Country programmes,,,B30,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Economics Adviser,,Department for International Development,DFID,Country programmes,,,B30,,3,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Education Adviser,,Department for International Development,DFID,Country programmes,,,B30,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Governance Adviser,,Department for International Development,DFID,Country programmes,,,B30,,2,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Infrastructure Adviser,,Department for International Development,DFID,Country programmes,,,B30,,2,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Policy Analyst / Manager,,Department for International Development,DFID,Country programmes,,,B30,,2,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Private Sector Development Adviser,,Department for International Development,DFID,Country programmes,,,B30,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B30,,2,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Social Development Adviser,,Department for International Development,DFID,Country programmes,,,B30,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Statistician,,Department for International Development,DFID,Country programmes,,,B30,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,B1D (Faststream),Climate & Environment Adviser,,Department for International Development,DFID,Country programmes,,,B30,,1,26800,37195,,Operational Delivery,,
Sep-16,Junior,,,B1D (Faststream),Policy Analyst / Manager,,Department for International Development,DFID,Country programmes,,,B30,,1,26800,37195,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Economics Adviser,,Department for International Development,DFID,Country programmes,,,B31,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Governance Adviser,,Department for International Development,DFID,Country programmes,,,B31,,2,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Policy Analyst / Manager,,Department for International Development,DFID,Country programmes,,,B31,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Private Sector Development Adviser,,Department for International Development,DFID,Country programmes,,,B31,,2,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Climate & Environment Adviser,,Department for International Development,DFID,Country programmes,,,B31,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Education Adviser,,Department for International Development,DFID,Country programmes,,,B31,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Humanitarian Adviser,,Department for International Development,DFID,Country programmes,,,B31,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Livelihoods Adviser,,Department for International Development,DFID,Country programmes,,,B31,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Private Sector Development Adviser,,Department for International Development,DFID,Country programmes,,,B31,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,B1D (Faststream),Governance Adviser,,Department for International Development,DFID,Country programmes,,,B31,,1,26800,37195,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Economics Adviser,,Department for International Development,DFID,Country programmes,,,B32,,2,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Education Adviser,,Department for International Development,DFID,Country programmes,,,B32,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Governance Adviser,,Department for International Development,DFID,Country programmes,,,B32,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Health Adviser,,Department for International Development,DFID,Country programmes,,,B32,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B32,,2,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Social Development Adviser,,Department for International Development,DFID,Country programmes,,,B32,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,B1D (Faststream),Evaluation Adviser,,Department for International Development,DFID,Country programmes,,,B32,,1,26800,37195,,Operational Delivery,,
Sep-16,Junior,,,B1D (Faststream),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B32,,1,26800,37195,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Private Sector Development Adviser,,Department for International Development,DFID,Country programmes,,,B34,,0.6,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Social Development Adviser,,Department for International Development,DFID,Country programmes,,,B34,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Administrator,,Department for International Development,DFID,Country programmes,,,B34,,0.86,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Economics Adviser,,Department for International Development,DFID,Country programmes,,,B34,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Governance Adviser,,Department for International Development,DFID,Country programmes,,,B34,,0.6,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Infrastructure Adviser,,Department for International Development,DFID,Country programmes,,,B34,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Private Sector Development Adviser,,Department for International Development,DFID,Country programmes,,,B34,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B34,,2,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2L (SEO),Administrator,,Department for International Development,DFID,Country programmes,,,B34,,1,41218,45380,,Operational Delivery,,
Sep-16,Junior,,,B1 (HEO),Administrator,,Department for International Development,DFID,Country programmes,,,B34,,1,31949,36397,,Operational Delivery,,
Sep-16,Junior,,,B1 (HEO),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B34,,4.66,31949,36397,,Operational Delivery,,
Sep-16,Junior,,,B1D (Faststream),Private Sector Development Adviser,,Department for International Development,DFID,Country programmes,,,B34,,1,26800,37195,,Operational Delivery,,
Sep-16,Junior,,,B2 (EO),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B34,,0.54,24411,28777,,Operational Delivery,,
Sep-16,Junior,,,C1 (AO),Executive Assistant,,Department for International Development,DFID,Country programmes,,,B34,,1,19892,23743,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Administrator,,Department for International Development,DFID,Country programmes,,,B35,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Evaluation Adviser,,Department for International Development,DFID,Country programmes,,,B35,,2.4,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Finance Professional,,Department for International Development,DFID,Country programmes,,,B35,,3,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Statistician,,Department for International Development,DFID,Country programmes,,,B35,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2L (SEO),Administrator,,Department for International Development,DFID,Country programmes,,,B35,,1,41218,45380,,Operational Delivery,,
Sep-16,Junior,,,A2L (SEO),Finance Professional,,Department for International Development,DFID,Country programmes,,,B35,,1,41218,45380,,Operational Delivery,,
Sep-16,Junior,,,B1 (HEO),Administrator,,Department for International Development,DFID,Country programmes,,,B35,,2,31949,36397,,Operational Delivery,,
Sep-16,Junior,,,B1 (HEO),Finance Professional,,Department for International Development,DFID,Country programmes,,,B35,,1,31949,36397,,Operational Delivery,,
Sep-16,Junior,,,B1 (HEO),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B35,,1,31949,36397,,Operational Delivery,,
Sep-16,Junior,,,B2 (EO),Administrator,,Department for International Development,DFID,Country programmes,,,B35,,2,24411,28777,,Operational Delivery,,
Sep-16,Junior,,,B2 (EO),Finance Professional,,Department for International Development,DFID,Country programmes,,,B35,,3,24411,28777,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B41,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Conflict Adviser,,Department for International Development,DFID,Country programmes,,,B50,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Governance Adviser,,Department for International Development,DFID,Country programmes,,,B50,,0.7,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Humanitarian Adviser,,Department for International Development,DFID,Country programmes,,,B50,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Policy Analyst / Manager,,Department for International Development,DFID,Country programmes,,,B50,,2,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B50,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Conflict Adviser,,Department for International Development,DFID,Country programmes,,,B50,,2.21,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Economics Adviser,,Department for International Development,DFID,Country programmes,,,B50,,3,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Governance Adviser,,Department for International Development,DFID,Country programmes,,,B50,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Humanitarian Adviser,,Department for International Development,DFID,Country programmes,,,B50,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Policy Analyst / Manager,,Department for International Development,DFID,Country programmes,,,B50,,4.8,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Private Sector Development Adviser,,Department for International Development,DFID,Country programmes,,,B50,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B50,,7.6,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Social Development Adviser,,Department for International Development,DFID,Country programmes,,,B50,,2,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Statistician,,Department for International Development,DFID,Country programmes,,,B50,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2L (SEO),Conflict Adviser,,Department for International Development,DFID,Country programmes,,,B50,,1,41218,45380,,Operational Delivery,,
Sep-16,Junior,,,B1 (HEO),Policy Analyst / Manager,,Department for International Development,DFID,Country programmes,,,B50,,1,31949,36397,,Operational Delivery,,
Sep-16,Junior,,,B1 (HEO),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B50,,8.2,31949,36397,,Operational Delivery,,
Sep-16,Junior,,,B1D (Faststream),Conflict Adviser,,Department for International Development,DFID,Country programmes,,,B50,,1,26800,37195,,Operational Delivery,,
Sep-16,Junior,,,B1D (Faststream),Humanitarian Adviser,,Department for International Development,DFID,Country programmes,,,B50,,1,26800,37195,,Operational Delivery,,
Sep-16,Junior,,,B2 (EO),Executive Assistant,,Department for International Development,DFID,Country programmes,,,B50,,1,24411,28777,,Operational Delivery,,
Sep-16,Junior,,,B2 (EO),Policy Analyst / Manager,,Department for International Development,DFID,Country programmes,,,B50,,1,24411,28777,,Operational Delivery,,
Sep-16,Junior,,,B2 (EO),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B50,,1,24411,28777,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Economics Adviser,,Department for International Development,DFID,Country programmes,,,B51,,2,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Humanitarian Adviser,,Department for International Development,DFID,Country programmes,,,B51,,2,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Policy Analyst / Manager,,Department for International Development,DFID,Country programmes,,,B51,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Conflict Adviser,,Department for International Development,DFID,Country programmes,,,B51,,3,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Deputy Head of Department,,Department for International Development,DFID,Country programmes,,,B51,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Economics Adviser,,Department for International Development,DFID,Country programmes,,,B51,,4,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Education Adviser,,Department for International Development,DFID,Country programmes,,,B51,,3,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Governance Adviser,,Department for International Development,DFID,Country programmes,,,B51,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Health Adviser,,Department for International Development,DFID,Country programmes,,,B51,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Humanitarian Adviser,,Department for International Development,DFID,Country programmes,,,B51,,2,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Livelihoods Adviser,,Department for International Development,DFID,Country programmes,,,B51,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Policy Analyst / Manager,,Department for International Development,DFID,Country programmes,,,B51,,7,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B51,,7,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Social Development Adviser,,Department for International Development,DFID,Country programmes,,,B51,,0.7,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Statistician,,Department for International Development,DFID,Country programmes,,,B51,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2L (SEO),Humanitarian Adviser,,Department for International Development,DFID,Country programmes,,,B51,,1,41218,45380,,Operational Delivery,,
Sep-16,Junior,,,A2L (SEO),Policy Analyst / Manager,,Department for International Development,DFID,Country programmes,,,B51,,1,41218,45380,,Operational Delivery,,
Sep-16,Junior,,,A2L (SEO),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B51,,6,41218,45380,,Operational Delivery,,
Sep-16,Junior,,,B1 (HEO),Policy Analyst / Manager,,Department for International Development,DFID,Country programmes,,,B51,,6,31949,36397,,Operational Delivery,,
Sep-16,Junior,,,B1 (HEO),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B51,,12,31949,36397,,Operational Delivery,,
Sep-16,Junior,,,B1D (Faststream),Economics Adviser,,Department for International Development,DFID,Country programmes,,,B51,,1,26800,37195,,Operational Delivery,,
Sep-16,Junior,,,B2 (EO),Administrator,,Department for International Development,DFID,Country programmes,,,B51,,1,24411,28777,,Operational Delivery,,
Sep-16,Junior,,,B2 (EO),Executive Assistant,,Department for International Development,DFID,Country programmes,,,B51,,2,24411,28777,,Operational Delivery,,
Sep-16,Junior,,,B2 (EO),Logistics Support,,Department for International Development,DFID,Country programmes,,,B51,,1,24411,28777,,Operational Delivery,,
Sep-16,Junior,,,B2 (EO),Policy Analyst / Manager,,Department for International Development,DFID,Country programmes,,,B51,,1,24411,28777,,Operational Delivery,,
Sep-16,Junior,,,B2 (EO),Programme Manager/ Administrator,,Department for International Development,DFID,Country programmes,,,B51,,2,24411,28777,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Social Development Adviser,,Department for International Development,DFID,Country programmes,,,B52,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,B1 (HEO),Policy Analyst / Manager,,Department for International Development,DFID,Country programmes,,,B60,,1,31949,36397,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Head of Department/Overseas Office,,Department for International Development,DFID,Country programmes,,,B71,,1,61381,70290,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Governance Adviser,,Department for International Development,DFID,Country programmes,,,B71,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A2 (G7),Livelihoods Adviser,,Department for International Development,DFID,Country programmes,,,B71,,1,49410,58160,,Operational Delivery,,
Sep-16,Junior,,,A1 (G6),Economics Adviser,,Department for International Development,DFID,Economic Development,,,A19,,1.72,61381,70290,,Policy,,
Sep-16,Junior,,,A1 (G6),Evaluation Adviser,,Department for International Development,DFID,Economic Development,,,A19,,1,61381,70290,,Policy,,
Sep-16,Junior,,,A1 (G6),Policy Analyst / Manager,,Department for International Development,DFID,Economic Development,,,A19,,3,61381,70290,,Policy,,
Sep-16,Junior,,,A1 (G6),Private Sector Development Adviser,,Department for International Development,DFID,Economic Development,,,A19,,0.6,61381,70290,,Policy,,
Sep-16,Junior,,,A1 (G6),Programme Manager/ Administrator,,Department for International Development,DFID,Economic Development,,,A19,,4.8,61381,70290,,Policy,,
Sep-16,Junior,,,A2 (G7),Administrator,,Department for International Development,DFID,Economic Development,,,A19,,1.92,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Programme Manager/ Administrator,,Department for International Development,DFID,Economic Development,,,A19,,2.8,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Statistician,,Department for International Development,DFID,Economic Development,,,A19,,2,49410,58160,,Policy,,
Sep-16,Junior,,,B1 (HEO),Administrator,,Department for International Development,DFID,Economic Development,,,A19,,1,31949,36397,,Policy,,
Sep-16,Junior,,,B1 (HEO),Policy Analyst / Manager,,Department for International Development,DFID,Economic Development,,,A19,,1,31949,36397,,Policy,,
Sep-16,Junior,,,B1 (HEO),Programme Manager/ Administrator,,Department for International Development,DFID,Economic Development,,,A19,,0.8,31949,36397,,Policy,,
Sep-16,Junior,,,B2 (EO),Administrator,,Department for International Development,DFID,Economic Development,,,A19,,1,24411,28777,,Policy,,
Sep-16,Junior,,,C1 (AO),Administrator,,Department for International Development,DFID,Economic Development,,,A19,,0.6,19892,23743,,Policy,,
Sep-16,Junior,,,A1 (G6),Economics Adviser,,Department for International Development,DFID,Economic Development,,,A5,,2,61381,70290,,Policy,,
Sep-16,Junior,,,A1 (G6),Head of Department/Overseas Office,,Department for International Development,DFID,Economic Development,,,A5,,2,61381,70290,,Policy,,
Sep-16,Junior,,,A1 (G6),Livelihoods Adviser,,Department for International Development,DFID,Economic Development,,,A5,,1,61381,70290,,Policy,,
Sep-16,Junior,,,A1 (G6),Programme Manager/ Administrator,,Department for International Development,DFID,Economic Development,,,A5,,1,61381,70290,,Policy,,
Sep-16,Junior,,,A1 (G6),Social Development Adviser,,Department for International Development,DFID,Economic Development,,,A5,,1,61381,70290,,Policy,,
Sep-16,Junior,,,A2 (G7),Administrator,,Department for International Development,DFID,Economic Development,,,A5,,1,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Programme Manager/ Administrator,,Department for International Development,DFID,Economic Development,,,A5,,2,49410,58160,,Policy,,
Sep-16,Junior,,,B2 (EO),Executive Assistant,,Department for International Development,DFID,Economic Development,,,A5,,1,24411,28777,,Policy,,
Sep-16,Junior,,,B2 (EO),Programme Manager/ Administrator,,Department for International Development,DFID,Economic Development,,,A5,,1,24411,28777,,Policy,,
Sep-16,Junior,,,B1 (HEO),Administrator,,Department for International Development,DFID,Economic Development,,,B22,,1,31949,36397,,Policy,,
Sep-16,Junior,,,A1 (G6),Economics Adviser,,Department for International Development,DFID,Economic Development,,,B45,,1,61381,70290,,Policy,,
Sep-16,Junior,,,A1 (G6),Governance Adviser,,Department for International Development,DFID,Economic Development,,,B45,,1,61381,70290,,Policy,,
Sep-16,Junior,,,A1 (G6),Livelihoods Adviser,,Department for International Development,DFID,Economic Development,,,B45,,1,61381,70290,,Policy,,
Sep-16,Junior,,,A1 (G6),Private Sector Development Adviser,,Department for International Development,DFID,Economic Development,,,B45,,1,61381,70290,,Policy,,
Sep-16,Junior,,,A2 (G7),Administrator,,Department for International Development,DFID,Economic Development,,,B45,,1,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Climate & Environment Adviser,,Department for International Development,DFID,Economic Development,,,B45,,1,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Economics Adviser,,Department for International Development,DFID,Economic Development,,,B45,,5.8,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Infrastructure Adviser,,Department for International Development,DFID,Economic Development,,,B45,,1.8,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Livelihoods Adviser,,Department for International Development,DFID,Economic Development,,,B45,,2,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Policy Analyst / Manager,,Department for International Development,DFID,Economic Development,,,B45,,3,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Private Sector Development Adviser,,Department for International Development,DFID,Economic Development,,,B45,,2,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Programme Manager/ Administrator,,Department for International Development,DFID,Economic Development,,,B45,,4,49410,58160,,Policy,,
Sep-16,Junior,,,B1 (HEO),Policy Analyst / Manager,,Department for International Development,DFID,Economic Development,,,B45,,1.8,31949,36397,,Policy,,
Sep-16,Junior,,,B1 (HEO),Programme Manager/ Administrator,,Department for International Development,DFID,Economic Development,,,B45,,3,31949,36397,,Policy,,
Sep-16,Junior,,,B1D (Faststream),Economics Adviser,,Department for International Development,DFID,Economic Development,,,B45,,1,26800,37195,,Policy,,
Sep-16,Junior,,,B1D (Faststream),Governance Adviser,,Department for International Development,DFID,Economic Development,,,B45,,1,26800,37195,,Policy,,
Sep-16,Junior,,,B1D (Faststream),Infrastructure Adviser,,Department for International Development,DFID,Economic Development,,,B45,,1,26800,37195,,Policy,,
Sep-16,Junior,,,B1D (Faststream),Livelihoods Adviser,,Department for International Development,DFID,Economic Development,,,B45,,1,26800,37195,,Policy,,
Sep-16,Junior,,,B2 (EO),Programme Manager/ Administrator,,Department for International Development,DFID,Economic Development,,,B45,,3,24411,28777,,Policy,,
Sep-16,Junior,,,A2 (G7),Economics Adviser,,Department for International Development,DFID,Economic Development,,,B46,,2.81,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Policy Analyst / Manager,,Department for International Development,DFID,Economic Development,,,B46,,2.75,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Private Sector Development Adviser,,Department for International Development,DFID,Economic Development,,,B46,,1,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Programme Manager/ Administrator,,Department for International Development,DFID,Economic Development,,,B46,,1,49410,58160,,Policy,,
Sep-16,Junior,,,B1 (HEO),Policy Analyst / Manager,,Department for International Development,DFID,Economic Development,,,B46,,2,31949,36397,,Policy,,
Sep-16,Junior,,,B1D (Faststream),Economics Adviser,,Department for International Development,DFID,Economic Development,,,B46,,2,26800,37195,,Policy,,
Sep-16,Junior,,,B2 (EO),Policy Analyst / Manager,,Department for International Development,DFID,Economic Development,,,B46,,2,24411,28777,,Policy,,
Sep-16,Junior,,,C1 (AO),Administrator,,Department for International Development,DFID,Economic Development,,,B46,,1,19892,23743,,Policy,,
Sep-16,Junior,,,A1 (G6),Infrastructure Adviser,,Department for International Development,DFID,Economic Development,,,B47,,1,61381,70290,,Policy,,
Sep-16,Junior,,,A1 (G6),Private Sector Development Adviser,,Department for International Development,DFID,Economic Development,,,B47,,3,61381,70290,,Policy,,
Sep-16,Junior,,,A1 (G6),Programme Manager/ Administrator,,Department for International Development,DFID,Economic Development,,,B47,,1,61381,70290,,Policy,,
Sep-16,Junior,,,A2 (G7),Administrator,,Department for International Development,DFID,Economic Development,,,B47,,1,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Economics Adviser,,Department for International Development,DFID,Economic Development,,,B47,,1,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Evaluation Adviser,,Department for International Development,DFID,Economic Development,,,B47,,1,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Finance Professional,,Department for International Development,DFID,Economic Development,,,B47,,1,49410,58160,,Policy,,
Sep-16,Junior,,,A2 (G7),Private Sector Development Adviser,,Department for International Development,DFID,Economic Development,,,B47,,11.02,49410,58160,,Policy,,
