Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?,
Oct-14,Junior,,,G7,Senior Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-099,,2,45299,61976,Finance,,,
Oct-14,Junior,,,SEO,Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-099,,1,33675,45769,Finance,,,
Oct-14,Junior,,,HEO,Assistant Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-099,,2,26492,37316,Finance,,,
Oct-14,Junior,,,EO,Finance Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-099,,1,21438,30275,Finance,,,
Oct-14,Junior,,,AO,Finance Support Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-099,,1,17209,23567,Finance,,,
Oct-14,Junior,,,SEO,not in post,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-099,,1,33675,45769,Finance,,,
Oct-14,Junior,,,G7,Senior Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-114,,1,45299,61976,Finance,,,
Oct-14,Junior,,,SEO,Senior Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-114,,2,33675,45769,Finance,,,
Oct-14,Junior,,,HEO,Assistant Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-114,,3,26492,37316,Finance,,,
Oct-14,Junior,,,HEO,not in post,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-114,,1,26492,37316,Finance,,,
Oct-14,Junior,,,EO,Finance Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-114,,5.89,21438,30275,Finance,,,
Oct-14,Junior,,,EO,not in post,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-114,,2,21438,30275,Finance,,,
Oct-14,Junior,,,AO,Finance Support Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-114,,1,17209,23567,Finance,,,
Oct-14,Junior,,,G7,Senior Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-115,,8,45299,61976,Finance,,,
Oct-14,Junior,,,SEO,Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-115,,3,33675,45769,Finance,,,
Oct-14,Junior,,,SEO,not in post,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-115,,1,33675,45769,Finance,,,
Oct-14,Junior,,,HEO,Assistant Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-115,,5,26492,37316,Finance,,,
Oct-14,Junior,,,EO,Finance Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-115,,3,21438,30275,Finance,,,
Oct-14,Junior,,,EO,not in post,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-115,,1,21438,30275,Finance,,,
Oct-14,Junior,,,AO,Finance Support Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-115,,2,17209,23567,Finance,,,
Oct-14,Junior,,,G6,Senior Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-2008,,3,57075,75035,Finance,,,
Oct-14,Junior,,,G7,Senior Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-2008,,9.8,45299,61976,Finance,,,
Oct-14,Junior,,,SEO,Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-2008,,7.2,33675,45769,Finance,,,
Oct-14,Junior,,,SEO,Not In Post,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-2008,,1,33675,45769,Finance,,,
Oct-14,Junior,,,HEO,Assistant Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-2008,,4,26492,37316,Finance,,,
Oct-14,Junior,,,EO,Finance Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-2008,,5,21438,30275,Finance,,,
Oct-14,Junior,,,AO,Finance Support Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-2008,,3.4,17209,23567,Finance,,,
Oct-14,Junior,,,G7,not in post,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-2008,,1,45299,61976,Finance,,,
Oct-14,Junior,,,HEO,not in post,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-2008,,4,26492,37316,Finance,,,
Oct-14,Junior,,,EO,not in post,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-2008,,1,21438,30275,Finance,,,
Oct-14,Junior,,,SEO,Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-276,,2.4,33675,45769,Finance,,,
Oct-14,Junior,,,HEO,Assistant Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-276,,6.48,26492,37316,Finance,,,
Oct-14,Junior,,,HEO,Not in post,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-276,,1,26492,37316,Finance,,,
Oct-14,Junior,,,EO,Finance Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-276,,7.35,21438,30275,Finance,,,
Oct-14,Junior,,,AO,Finance Support Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-276,,13.6,17209,23567,Finance,,,
Oct-14,Junior,,,G7,not in post,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-276,,2,45299,61976,Finance,,,
Oct-14,Junior,,,SEO,not in post,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-276,,1,33675,45769,Finance,,,
Oct-14,Junior,,,EO,Not In Post,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-276,,1,21438,30275,Finance,,,
Oct-14,Junior,,,AO,Not In Post,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-276,,1,17209,23567,Finance,,,
Oct-14,Junior,,,G6,Senior Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-115,,1,57075,75035,Finance,,,
Oct-14,Junior,,,G7,Senior Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-115,,1,45299,61976,Finance,,,
Oct-14,Junior,,,EO,Finance Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-115,,1,21438,30275,Finance,,,
Oct-14,Junior,,,HEO,Assistant Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-GFM-115,,1,26492,37316,Finance,,,
Oct-14,Junior,,,G7,Business Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-DG-007,,2,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,G6,Private Secretary,,Department of Health,Department of Health,Finance & NHS,,,FN-DG-007,,1,57075,75035,Operational Delivery,,,
Oct-14,Junior,,,SEO,Business Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-DG-007,,3,33675,45769,Operational Delivery,,,
Oct-14,Junior,,,HEO,Executive Assistant,,Department of Health,Department of Health,Finance & NHS,,,FN-DG-007,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,HEO,Not In Post,,Department of Health,Department of Health,Finance & NHS,,,FN-DG-007,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,EO,Executive Assistant,,Department of Health,Department of Health,Finance & NHS,,,FN-DG-007,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,G6,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,57075,75035,Policy,,,
Oct-14,Junior,,,G6,Not In Post,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,57075,75035,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,45299,61976,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,45299,61976,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,45299,61976,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,45299,61976,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,45299,61976,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,45299,61976,Policy,,,
Oct-14,Junior,,,SEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,33675,45769,Policy,,,
Oct-14,Junior,,,SEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,33675,45769,Policy,,,
Oct-14,Junior,,,SEO,Not In Post,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,33675,45769,Policy,,,
Oct-14,Junior,,,FS,Operational Researcher,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,29992,41546,Policy,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,26492,37316,Policy,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,26492,37316,Policy,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,26492,37316,Policy,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,26492,37316,Policy,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,26492,37316,Policy,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,26492,37316,Policy,,,
Oct-14,Junior,,,EO,PA Support,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2025,,1,21438,30275,Policy,,,
Oct-14,Junior,,,G6,Senior Policy Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-MPI-096,,1,57075,75035,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-MPI-096,,1,45299,61976,Policy,,,
Oct-14,Junior,,,SEO,Policy Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-MPI-096,,1,33675,45769,Policy,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-MPI-096,,2,26492,37316,Policy,,,
Oct-14,Junior,,,EO,PA Support,,Department of Health,Department of Health,Finance & NHS,,,FN-MPI-096,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,G6,Programme Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-104,,2,57075,75035,Policy,,,
Oct-14,Junior,,,G6,Legal Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-104,,2,57075,75035,Policy,,,
Oct-14,Junior,,,G6,Technical Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-104,,1,57075,75035,Policy,,,
Oct-14,Junior,,,G6,Commercial Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-104,,2,57075,75035,Policy,,,
Oct-14,Junior,,,G7,Commercial Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-104,,2,45299,61976,Policy,,,
Oct-14,Junior,,,SEO,Project Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-104,,1,33675,45769,Policy,,,
Oct-14,Junior,,,HEO,Project Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-104,,1,26492,37316,Policy,,,
Oct-14,Junior,,,SEO,Policy Support Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-104,,1,33675,45769,Policy,,,
Oct-14,Junior,,,EO,Admin support,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-104,,1,21438,30275,Policy,,,
Oct-14,Junior,,,G7,Commercial Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-104,,3,45299,61976,Property and asset management,,,
Oct-14,Junior,,,G6,Legal Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-104,,3.8,57075,75035,Property and asset management,,,
Oct-14,Junior,,,G7,Legal Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-104,,1.2,45299,61976,Property and asset management,,,
Oct-14,Junior,,,G6,Commercial Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-125,,1,57075,75035,Property and asset management,,,
Oct-14,Junior,,,G7,Senior Development Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-125,,2.6,45299,61976,Property and asset management,,,
Oct-14,Junior,,,G6,Programme Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-125,,1,57075,75035,Property and asset management,,,
Oct-14,Junior,,,G6,Senior Development Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-125,,1,57075,75035,Property and asset management,,,
Oct-14,Junior,,,G7,Senior Development Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-125,,1,45299,61976,Property and asset management,,,
Oct-14,Junior,,,G7,Policy Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-125,,4,45299,61976,Property and asset management,,,
Oct-14,Junior,,,SEO,Policy Support Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-125,,2,33675,45769,Property and asset management,,,
Oct-14,Junior,,,HEO,Project Support Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-125,,3,26492,37316,Property and asset management,,,
Oct-14,Junior,,,EO,Admin support,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-125,,3,21438,30275,Property and asset management,,,
Oct-14,Junior,,,G6,Commercial Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-107,,3,57075,75035,Procurement,,,
Oct-14,Junior,,,G7,Commercial Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-107,,5,45299,61976,Procurement,,,
Oct-14,Junior,,,SEO,Commercial Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-107,,18,33675,45769,Procurement,,,
Oct-14,Junior,,,HEO,Commercial Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-107,,10,26492,37316,Procurement,,,
Oct-14,Junior,,,EO,Admin support,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-107,,3,21438,30275,Procurement,,,
Oct-14,Junior,,,G6,Senior Procurement Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-108,,6,57075,75035,Procurement,,,
Oct-14,Junior,,,G7,Senior Procurement Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-108,,2,45299,61976,Procurement,,,
Oct-14,Junior,,,G7,Commercial Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-108,,1,45299,61976,Finance,,,
Oct-14,Junior,,,SEO,Project Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-108,,1,33675,45769,Programme and Project Management (PPM),,,
Oct-14,Junior,,,EO,Admin support,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-108,,2.5,21438,30275,Procurement,,,
Oct-14,Junior,,,G7,Business Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-033,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,EO,Admin support,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-033,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,HEO,Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-033,,2,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,G6,Senior Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-PICD-033,,2,57075,75035,Policy,,,
Oct-14,Junior,,,G6,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,57075,75035,Policy,,,
Oct-14,Junior,,,G6,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,57075,75035,Policy,,,
Oct-14,Junior,,,G7,Senior Economist,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,45299,61976,Economics,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,45299,61976,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,45299,61976,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,45299,61976,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,45299,61976,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,45299,61976,Policy,,,
Oct-14,Junior,,,G7,Not in Post,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,45299,61976,Policy,,,
Oct-14,Junior,,,SEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,33675,45769,Policy,,,
Oct-14,Junior,,,SEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,33675,45769,Policy,,,
Oct-14,Junior,,,FS,Economist,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,29992,41546,Economics,,,
Oct-14,Junior,,,FS,Economist,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,29992,41546,Economics,,,
Oct-14,Junior,,,FS,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,29992,41546,Policy,,,
Oct-14,Junior,,,FS,Not in Post,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,29992,41546,Economics,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,26492,37316,Policy,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,26492,37316,Policy,,,
Oct-14,Junior,,,EO,PA Support,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,21438,30275,Other,,,
Oct-14,Junior,,,EO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2023,,1,21438,30275,Policy,,,
Oct-14,Junior,,,G6,Analyst,,Department of Health,Department of Health,Finance & NHS,,,FN-FP-2082,,1,57075,75035,Economics,,,
Oct-14,Junior,,,G6,Performance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-FP-2082,,1,57075,75035,Operational Delivery,,,
Oct-14,Junior,,,G7,Analyst,,Department of Health,Department of Health,Finance & NHS,,,FN-FP-2082,,3,45299,61976,Planning,,,
Oct-14,Junior,,,G7,Policy Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-FP-2082,,5,45299,61976,Policy,,,
Oct-14,Junior,,,SEO,Policy Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-FP-2082,,3.2,33675,45769,Policy,,,
Oct-14,Junior,,,SEO,"Budget, Funding etc Manager",,Department of Health,Department of Health,Finance & NHS,,,FN-FP-2082,,0.4,33675,45769,Finance,,,
Oct-14,Junior,,,HEO,Finance Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-FP-2082,,1,26492,37316,Finance,,,
Oct-14,Junior,,,HEO,Business Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-FP-2082,,1.4,26492,37316,Policy,,,
Oct-14,Junior,,,HEO,Policy Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-FP-2082,,1,26492,37316,Policy,,,
Oct-14,Junior,,,FS,Analyst,,Department of Health,Department of Health,Finance & NHS,,,FN-FP-2082,,3,29992,41546,Economics,,,
Oct-14,Junior,,,EO,Business Manager,,Department of Health,Department of Health,Finance & NHS,,,FN-FP-2082,,2.4,21438,30275,Other,,,
Oct-14,Junior,,,AO,Business Support Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-FP-2082,,1,17209,23567,Other,,,
Oct-14,Junior,,,AO,Analyst,,Department of Health,Department of Health,Finance & NHS,,,FN-FP-2082,,1,17209,23567,Other,,,
Oct-14,Junior,,,G6,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,57075,75035,Policy,,,
Oct-14,Junior,,,G6,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,57075,75035,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,45299,61976,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,45299,61976,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,45299,61976,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,45299,61976,Policy,,,
Oct-14,Junior,,,G7,Senior Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,45299,61976,Policy,,,
Oct-14,Junior,,,G7,Not in Post,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,45299,61976,Policy,,,
Oct-14,Junior,,,SEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,33675,45769,Policy,,,
Oct-14,Junior,,,SEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,33675,45769,Policy,,,
Oct-14,Junior,,,SEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,33675,45769,Policy,,,
Oct-14,Junior,,,SEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,33675,45769,Policy,,,
Oct-14,Junior,,,FS,Statistician,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,29992,41546,Policy,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,26492,37316,Policy,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,26492,37316,Policy,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,26492,37316,Policy,,,
Oct-14,Junior,,,HEO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,26492,37316,Policy,,,
Oct-14,Junior,,,HEO,Not in Post,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,26492,37316,Policy,,,
Oct-14,Junior,,,EO,Team Support Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,21438,30275,Policy,,,
Oct-14,Junior,,,EO,Business Support Officer,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,21438,30275,Policy,,,
Oct-14,Junior,,,EO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,21438,30275,Policy,,,
Oct-14,Junior,,,EO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,21438,30275,Policy,,,
Oct-14,Junior,,,EO,Policy Adviser,,Department of Health,Department of Health,Finance & NHS,,,FN-NHSG-2240,,1,21438,30275,Policy,,,
Oct-14,Junior,,,EO,FOI Support Officer,,Department of Health,Department of Health,Group Operations,,,IGO-012,,2,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,G7,Senior FOI Support Officer,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,SEO,Senior FOI Support Officer,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,33675,45769,Operational Delivery,,,
Oct-14,Junior,,,HEO,Senior FOI Support Officer,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,EO,FOI Support Officer,,Department of Health,Department of Health,Group Operations,,,IGO-012,,2,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,FS,Assistant Private Secretary,,Department of Health,Department of Health,Group Operations,,,IGO-034,,2,29992,41546,Operational Delivery,,,
Oct-14,Junior,,,HEO,Assistant Private Secretary,,Department of Health,Department of Health,Group Operations,,,IGO-034,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,EO,Diary Secretary,,Department of Health,Department of Health,Group Operations,,,IGO-034,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,AO,Admin support,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,17209,23567,Operational Delivery,,,
Oct-14,Junior,,,EO,PA Support,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,AO,Admin support,,Department of Health,Department of Health,Group Operations,,,IGO-012,,3,17209,23567,Operational Delivery,,,
Oct-14,Junior,,,HEO,Admin support,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,AO,Admin support,,Department of Health,Department of Health,Group Operations,,,IGO-012,,2,17209,23567,Operational Delivery,,,
Oct-14,Junior,,,AO,Admin support,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,17209,23567,Operational Delivery,,,
Oct-14,Junior,,,HEO,Correspondence Officer,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,AO,Correspondence Officer,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,17209,23567,Operational Delivery,,,
Oct-14,Junior,,,EO,Correspondence Officer,,Department of Health,Department of Health,Group Operations,,,IGO-012,,27,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,HEO,Correspondence Manager,,Department of Health,Department of Health,Group Operations,,,IGO-012,,4,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,EO,Executive Assistant,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,HEO,Correspondence Manager,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,G7,Senior Operational Manager,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,45299,61976,Operational Delivery,,,
Oct-14,Junior,,,G6,Senior Correspondence Manager,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,57075,75035,Operational Delivery,,,
Oct-14,Junior,,,EO,Communications Support Officer,,Department of Health,Department of Health,Group Operations,,,IGO-012,,5,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,EO,Executive Assistant,,Department of Health,Department of Health,Group Operations,,,IGO-012,,2,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,SEO,Correspondence Manager,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,33675,45769,Operational Delivery,,,
Oct-14,Junior,,,EO,Correspondence Officer,,Department of Health,Department of Health,Group Operations,,,IGO-012,,2,21438,30275,Operational Delivery,,,
Oct-14,Junior,,,HEO,Team Support Officer,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,26492,37316,Operational Delivery,,,
Oct-14,Junior,,,EO,Admin support,,Department of Health,Department of Health,Group Operations,,,IGO-012,,1,21438,30275,Operational Delivery,,,
