Back to Index,Junior/Senior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?,
Sep-13,Junior,,,Fast Stream London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,119,,1,27270,33654,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,119,,4,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,119,,2.81,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,119,,2.2,57275,68322,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,76,,0.8,29554,34424,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,111,,4,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,111,,2,29554,34424,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,111,,9,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,111,,11.35,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,111,,3,57275,68322,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,108,,2,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,108,,1,29554,34424,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,108,,7,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,108,,7,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,108,,3,57275,68322,Policy,,,
Sep-13,Junior,,,Administrative Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,97,,2,21463,22646,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,97,,3,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,97,,8,29554,34424,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,97,,8,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,97,,25.52,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,97,,7.56,57275,68322,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,104,,2,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,104,,7.83,29554,34424,Policy,,,
Sep-13,Junior,,,Fast Stream London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,104,,1,27270,33654,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,104,,8,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,104,,3,57275,68322,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,85,,1,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,85,,2,29554,34424,Policy,,,
Sep-13,Junior,,,Fast Stream London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,85,,2,27270,33654,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,85,,2,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,85,,7,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,,85,,2,57275,68322,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,19,,3,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,19,,2,29554,34424,Policy,,,
Sep-13,Junior,,,Fast Stream London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,19,,2,27270,33654,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,19,,2,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,19,,9,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,19,,4,57275,68322,Policy,,,
Sep-13,Junior,,,Administrative Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,8,,2,21463,22646,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,8,,2,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,8,,4.5,29554,34424,Policy,,,
Sep-13,Junior,,,Fast Stream London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,8,,1,27270,33654,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,8,,4,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,8,,9,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,8,,1,57275,68322,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,126,,4,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,126,,4,29554,34424,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,126,,2.8,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,126,,6,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,126,,3,57275,68322,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,33,,1.92,29554,34424,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,33,,1,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,33,,2,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,33,,1,57275,68322,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,116,,4,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,116,,7,29554,34424,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,116,,4.36,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,116,,11.2,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,116,,4.6,57275,68322,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,2,,1,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,2,,1,29554,34424,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,101,,1,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,101,,1,29554,34424,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,101,,1,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,101,,11,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,101,,2,57275,68322,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,20,,3,29554,34424,Policy,,,
Sep-13,Junior,,,Fast Stream London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,20,,1,27270,33654,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,20,,7,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,20,,2.9,57275,68322,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,2,,1,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,127,,2,29554,34424,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,127,,1,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,127,,2,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,127,,2.58,57275,68322,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,29,,2,29554,34424,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,29,,6.86,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,29,,5,47445,56597,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,5,,2.28,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,5,,3,29554,34424,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,5,,1,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,5,,5,47445,56597,Policy,,,
Sep-13,Junior,,,Administrative Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,32,,3.42,21463,22646,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,32,,3,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,32,,7.58,29554,34424,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,32,,8.49,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,32,,6,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,32,,2,57275,68322,Policy,,,
Sep-13,Junior,,,Administrative Officer National,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,32,,2,17710,19146,Policy,,,
Sep-13,Junior,,,Executive Officer National,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,32,,4,21463,25060,Policy,,,
Sep-13,Junior,,,Senior Executive Officer National,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,32,,8,31021,37851,Policy,,,
Sep-13,Junior,,,Grade 7 National,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,32,,3,43405,52597,Policy,,,
Sep-13,Junior,,,Grade 6 National,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,32,,1,53253,64322,Policy,,,
Sep-13,Junior,,,Administrative Officer National,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,21,,12.63,17710,19146,Policy,,,
Sep-13,Junior,,,Executive Officer National,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,21,,9.8,21463,25060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer National,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,21,,7.61,25514,30424,Policy,,,
Sep-13,Junior,,,Senior Executive Officer National,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,21,,35.41,31021,37851,Policy,,,
Sep-13,Junior,,,Grade 7 National,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,21,,4.5,43405,52597,Policy,,,
Sep-13,Junior,,,Grade 6 National,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,21,,0.95,53253,64322,Policy,,,
Sep-13,Junior,,,Administrative Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,21,,3,21463,22646,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,21,,6,29554,34424,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,21,,1,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,21,,2,57275,68322,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,125,,3,29554,34424,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,125,,3.6,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,125,,1.91,57275,68322,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,28,,6,29554,34424,Policy,,,
Sep-13,Junior,,,Fast Stream London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,28,,1,27270,33654,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,28,,2,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,28,,11.8,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,28,,2,57275,68322,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,96,,4,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,96,,7.83,29554,34424,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,96,,1,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,96,,9,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,96,,2,57275,68322,Policy,,,
Sep-13,Junior,,,Administrative Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,98,,1,21463,22646,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,98,,3,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,98,,11,29554,34424,Policy,,,
Sep-13,Junior,,,Fast Stream London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,98,,4,27270,33654,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,98,,3,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,98,,22,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,98,,2.86,57275,68322,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,13,,2,29554,34424,Policy,,,
Sep-13,Junior,,,Fast Stream London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,13,,1,27270,33654,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,13,,2.36,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,13,,7.41,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,13,,2,57275,68322,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,95,,1,57275,68322,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,95,,3,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,95,,7,29554,34424,Policy,,,
Sep-13,Junior,,,Fast Stream London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,95,,1,27270,33654,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,95,,3,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,95,,11.75,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,95,,2.67,57275,68322,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,22,,1,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,22,,3,29554,34424,Policy,,,
Sep-13,Junior,,,Fast Stream London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,22,,4,27270,33654,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,22,,1,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,22,,9,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,22,,3.8,57275,68322,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,13,,6,29554,34424,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,13,,1,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,13,,9,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,13,,4,57275,68322,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,2,,1,35061,41851,Policy,,,
Sep-13,Junior,,,Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,18,,0.89,25242,29060,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,18,,3,29554,34424,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,18,,2,35061,41851,Policy,,,
Sep-13,Junior,,,Grade 7 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,18,,6,47445,56597,Policy,,,
Sep-13,Junior,,,Grade 6 London,Senior Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,,18,,2,57275,68322,Policy,,,
Sep-13,Junior,,,Administrative Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",,,66,,1,21463,22646,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",,,66,,1,29554,34424,Policy,,,
Sep-13,Junior,,,Higher Executive Officer London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",,,70,,5,29554,34424,Policy,,,
Sep-13,Junior,,,Fast Stream London,Policy Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",,,70,,3,27270,33654,Policy,,,
Sep-13,Junior,,,Senior Executive Officer London,Policy Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",,,70,,5,35061,41851,Policy,,,
